Title,Publisher,URL,Date,Description
The Cabinet Manual: In Dire Need of an Update,The Constitution Society,https://consoc.org.uk/cabinet-manual-update-required/,16/04/2026,
Are Wes Streeting’s leadership hopes dead?,UnHerd,https://unherd.com/newsroom/are-wes-streetings-leadership-hopes-dead/,11/02/2026,
How England’s new Reform councillors compare in their views to other parties,The Conversation,https://theconversation.com/how-englands-new-reform-councillors-compare-in-their-views-to-other-parties-268011,24/10/2025,Reform councillors are more aligned with Greens when it comes to building more houses but take quite different views on crime and tax and spend.
Assisted dying: 56 MPs switched their vote between rounds – here’s how religion affected their choices,The Conversation,https://theconversation.com/assisted-dying-56-mps-switched-their-vote-between-rounds-heres-how-religion-affected-their-choices-259589,23/06/2025,"A group of MPs switched their vote between second and third reading, with those identifying as religious more likely to end up opposing the law change."
Politicians and the public agree on what the Spending Review’s priorities should be,LSE British Politics,https://blogs.lse.ac.uk/politicsandpolicy/politicians-and-the-public-agree-on-what-the-spending-reviews-priorities-should-be/,04/06/2025,"With the UK Government’s spending review due to conclude in June 2025, Mitya Pearson and David Jeffery argue that while politicians and the public mostly agree on public spending priorities, politicians need to make the case to the public where they do not."
Liverpool car-ramming: have police learnt from Southport?,UnHerd,https://unherd.com/newsroom/liverpool-car-ramming-have-police-learnt-from-southport/,27/05/2025,
Royaume‑Uni : comment la religion des députés influence leur position sur la légalisation de l’aide à mourir,The Conversation,https://theconversation.com/royaume-uni-comment-la-religion-des-deputes-influence-leur-position-sur-la-legalisation-de-laide-a-mourir-257493,26/05/2025,Les députés ont récemment voté sur un projet de loi sur l’aide à mourir. Un vote où leur affiliation religieuse a joué un rôle non négligeable.
Is the UK-EU reset the first step toward Britain rejoining the single market?,LSE European Politics,https://blogs.lse.ac.uk/europpblog/2025/05/20/is-the-uk-eu-reset-the-first-step-toward-britain-rejoining-the-single-market/,20/05/2025,"The UK and the EU have reached agreement on a post-Brexit “reset” to their relationship. Mitya Pearson and David Jeffery write that while there is support in the UK for establishing closer relations with the EU, there are major political obstacles to taking more ambitious steps like rejoining the single market."
What do MPs really think about immigration? We surveyed them to find out,The Conversation,https://theconversation.com/what-do-mps-really-think-about-immigration-we-surveyed-them-to-find-out-256856,16/05/2025,Members of the public are more likely than MPs to think immigration has been too high in recent years.
Assisted dying bill: religious MPs were more likely to oppose law change in first round of voting,The Conversation,https://theconversation.com/assisted-dying-bill-religious-mps-were-more-likely-to-oppose-law-change-in-first-round-of-voting-256503,14/05/2025,"MPs will soon vote on Kim Leadbeater’s assisted dying bill. Analysis of the second reading shows how religion, identity and party shaped support and opposition."
Labour risks voter backlash over welfare cuts,UnHerd,https://unherd.com/newsroom/labour-risks-voter-backlash-over-welfare-cuts/,26/04/2025,
Reject rioting revisionism,The Critic,https://thecritic.co.uk/reject-rioting-revisionism/,20/03/2025,Legitimate grievances do not justify illegitimate behaviour
Keir Starmer’s welfare U-turn would be a fatal error,UnHerd,https://unherd.com/newsroom/keir-starmers-welfare-u-turn-would-be-a-fatal-error/,17/03/2025,
How should Labour and the Tories respond to the populist right? Lessons from Europe,The Conversation,https://theconversation.com/how-should-labour-and-the-tories-respond-to-the-populist-right-lessons-from-europe-250182,07/03/2025,The evidence suggests traditional parties that ape the populist radical right’s policies risk boosting their rivals instead of reclaiming voters.
The Conservative Party must oppose Labour’s plans to impose unitary local government,ConservativeHome,https://conservativehome.com/2025/01/10/david-jeffery-the-conservative-party-must-oppose-labours-plans-to-impose-unitary-local-government/,10/01/2025,These proposals both show no sign of delivering significant cost savings (whilst guaranteeing less efficient provision of services) and threaten to devastate our suburban and rural activist base..
Britain’s two-party system is crumbling,UnHerd,https://unherd.com/newsroom/britains-two-party-system-is-crumbling/,30/12/2024,
